"Notes"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2001"	"2001"	600	284968955	0.2
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2002"	"2002"	626	287625193	0.2
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2003"	"2003"	562	290107933	0.2
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2004"	"2004"	504	292805298	0.2
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2005"	"2005"	480	295516599	0.2
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2006"	"2006"	490	298379912	0.2
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2007"	"2007"	424	301231207	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2008"	"2008"	449	304093966	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2009"	"2009"	405	306771529	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2010"	"2010"	423	308745538	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2011"	"2011"	394	311591917	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2012"	"2012"	376	313914040	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2013"	"2013"	408	316128839	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2014"	"2014"	339	318857056	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2015"	"2015"	344	321418820	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2016"	"2016"	387	323127513	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2017"	"2017"	349	325719178	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2018"	"2018"	351	327167434	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2019"	"2019"	346	328239523	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2020 "	"2020"	411	329484123	0.1
	"Other tuberculosis (A17-A19)"	"GR113-006"	"1999"	"1999"	166	279040168	0.1
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2000"	"2000"	161	281421906	0.1
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2001"	"2001"	164	284968955	0.1
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2002"	"2002"	158	287625193	0.1
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2003"	"2003"	149	290107933	0.1
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2004"	"2004"	153	292805298	0.1
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2005"	"2005"	168	295516599	0.1
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2006"	"2006"	162	298379912	0.1
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2007"	"2007"	130	301231207	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2008"	"2008"	136	304093966	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2009"	"2009"	124	306771529	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2010"	"2010"	146	308745538	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2011"	"2011"	145	311591917	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2012"	"2012"	134	313914040	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2013"	"2013"	147	316128839	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2014"	"2014"	154	318857056	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2015"	"2015"	126	321418820	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2016"	"2016"	141	323127513	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2017"	"2017"	166	325719178	0.1
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2018"	"2018"	191	327167434	0.1
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2019"	"2019"	180	328239523	0.1
	"Other tuberculosis (A17-A19)"	"GR113-006"	"2020 "	"2020"	189	329484123	0.1
	"#Whooping cough (A37)"	"GR113-007"	"2000"	"2000"	12	281421906	Unreliable
	"#Whooping cough (A37)"	"GR113-007"	"2001"	"2001"	17	284968955	Unreliable
	"#Whooping cough (A37)"	"GR113-007"	"2002"	"2002"	18	287625193	Unreliable
	"#Whooping cough (A37)"	"GR113-007"	"2003"	"2003"	11	290107933	Unreliable
	"#Whooping cough (A37)"	"GR113-007"	"2004"	"2004"	16	292805298	Unreliable
	"#Whooping cough (A37)"	"GR113-007"	"2005"	"2005"	31	295516599	0.0
	"#Whooping cough (A37)"	"GR113-007"	"2008"	"2008"	20	304093966	0.0
	"#Whooping cough (A37)"	"GR113-007"	"2009"	"2009"	15	306771529	Unreliable
	"#Whooping cough (A37)"	"GR113-007"	"2010"	"2010"	26	308745538	0.0
	"#Whooping cough (A37)"	"GR113-007"	"2012"	"2012"	17	313914040	Unreliable
	"#Whooping cough (A37)"	"GR113-007"	"2013"	"2013"	12	316128839	Unreliable
	"#Whooping cough (A37)"	"GR113-007"	"2014"	"2014"	14	318857056	Unreliable
	"#Whooping cough (A37)"	"GR113-007"	"2016"	"2016"	11	323127513	Unreliable
	"#Whooping cough (A37)"	"GR113-007"	"2019"	"2019"	10	328239523	Unreliable
	"#Meningococcal infection (A39)"	"GR113-009"	"1999"	"1999"	227	279040168	0.1
	"#Meningococcal infection (A39)"	"GR113-009"	"2000"	"2000"	211	281421906	0.1
	"#Meningococcal infection (A39)"	"GR113-009"	"2001"	"2001"	199	284968955	0.1
	"#Meningococcal infection (A39)"	"GR113-009"	"2002"	"2002"	161	287625193	0.1
	"#Meningococcal infection (A39)"	"GR113-009"	"2003"	"2003"	161	290107933	0.1
	"#Meningococcal infection (A39)"	"GR113-009"	"2004"	"2004"	138	292805298	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2005"	"2005"	123	295516599	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2006"	"2006"	105	298379912	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2007"	"2007"	87	301231207	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2008"	"2008"	102	304093966	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2009"	"2009"	99	306771529	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2010"	"2010"	79	308745538	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2011"	"2011"	86	311591917	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2012"	"2012"	74	313914040	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2013"	"2013"	59	316128839	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2014"	"2014"	43	318857056	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2015"	"2015"	40	321418820	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2016"	"2016"	36	323127513	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2017"	"2017"	31	325719178	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2018"	"2018"	28	327167434	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2019"	"2019"	35	328239523	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"2020 "	"2020"	29	329484123	0.0
	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	30680	279040168	11.0
	"#Septicemia (A40-A41)"	"GR113-010"	"2000"	"2000"	31224	281421906	11.1
	"#Septicemia (A40-A41)"	"GR113-010"	"2001"	"2001"	32238	284968955	11.3
	"#Septicemia (A40-A41)"	"GR113-010"	"2002"	"2002"	33865	287625193	11.8
	"#Septicemia (A40-A41)"	"GR113-010"	"2003"	"2003"	34069	290107933	11.7
	"#Septicemia (A40-A41)"	"GR113-010"	"2004"	"2004"	33373	292805298	11.4
	"#Septicemia (A40-A41)"	"GR113-010"	"2005"	"2005"	34136	295516599	11.6
	"#Septicemia (A40-A41)"	"GR113-010"	"2006"	"2006"	34234	298379912	11.5
	"#Septicemia (A40-A41)"	"GR113-010"	"2007"	"2007"	34828	301231207	11.6
	"#Septicemia (A40-A41)"	"GR113-010"	"2008"	"2008"	35927	304093966	11.8
	"#Septicemia (A40-A41)"	"GR113-010"	"2009"	"2009"	35639	306771529	11.6
	"#Septicemia (A40-A41)"	"GR113-010"	"2010"	"2010"	34812	308745538	11.3
	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	35748	311591917	11.5
	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	35842	313914040	11.4
	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	38156	316128839	12.1
	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	38940	318857056	12.2
	"#Septicemia (A40-A41)"	"GR113-010"	"2015"	"2015"	40773	321418820	12.7
	"#Septicemia (A40-A41)"	"GR113-010"	"2016"	"2016"	40613	323127513	12.6
	"#Septicemia (A40-A41)"	"GR113-010"	"2017"	"2017"	40922	325719178	12.6
	"#Septicemia (A40-A41)"	"GR113-010"	"2018"	"2018"	40718	327167434	12.4
	"#Septicemia (A40-A41)"	"GR113-010"	"2019"	"2019"	38431	328239523	11.7
	"#Septicemia (A40-A41)"	"GR113-010"	"2020 "	"2020"	40050	329484123	12.2
	"#Syphilis (A50-A53)"	"GR113-011"	"1999"	"1999"	33	279040168	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2000"	"2000"	41	281421906	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2001"	"2001"	36	284968955	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2002"	"2002"	41	287625193	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2003"	"2003"	34	290107933	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2004"	"2004"	43	292805298	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2005"	"2005"	47	295516599	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2006"	"2006"	38	298379912	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2007"	"2007"	42	301231207	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2008"	"2008"	34	304093966	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2009"	"2009"	34	306771529	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2010"	"2010"	28	308745538	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2011"	"2011"	45	311591917	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2012"	"2012"	37	313914040	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2013"	"2013"	49	316128839	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2014"	"2014"	43	318857056	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2015"	"2015"	45	321418820	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2016"	"2016"	41	323127513	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2017"	"2017"	63	325719178	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2018"	"2018"	37	327167434	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2019"	"2019"	43	328239523	0.0
	"#Syphilis (A50-A53)"	"GR113-011"	"2020 "	"2020"	46	329484123	0.0
	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	"2003"	"2003"	13	290107933	Unreliable
	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	"2019"	"2019"	17	328239523	Unreliable
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"1999"	"1999"	4853	279040168	1.7
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2000"	"2000"	5357	281421906	1.9
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2001"	"2001"	5585	284968955	2.0
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2002"	"2002"	5793	287625193	2.0
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2003"	"2003"	5431	290107933	1.9
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2004"	"2004"	5382	292805298	1.8
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2005"	"2005"	5529	295516599	1.9
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2006"	"2006"	7250	298379912	2.4
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2007"	"2007"	7407	301231207	2.5
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2008"	"2008"	7629	304093966	2.5
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2009"	"2009"	7694	306771529	2.5
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2010"	"2010"	7564	308745538	2.4
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2011"	"2011"	7850	311591917	2.5
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2012"	"2012"	8062	313914040	2.6
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2013"	"2013"	8157	316128839	2.6
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2014"	"2014"	8081	318857056	2.5
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2015"	"2015"	7461	321418820	2.3
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2016"	"2016"	6421	323127513	2.0
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2017"	"2017"	5611	325719178	1.7
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2018"	"2018"	4842	327167434	1.5
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2019"	"2019"	4285	328239523	1.3
	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2020 "	"2020"	3943	329484123	1.2
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"1999"	"1999"	14802	279040168	5.3
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2000"	"2000"	14478	281421906	5.1
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2001"	"2001"	14175	284968955	5.0
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2002"	"2002"	14095	287625193	4.9
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2003"	"2003"	13658	290107933	4.7
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2004"	"2004"	13063	292805298	4.5
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2005"	"2005"	12543	295516599	4.2
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2006"	"2006"	12113	298379912	4.1
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2007"	"2007"	11295	301231207	3.7
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2008"	"2008"	10285	304093966	3.4
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2009"	"2009"	9406	306771529	3.1
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2010"	"2010"	8369	308745538	2.7
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2011"	"2011"	7683	311591917	2.5
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2012"	"2012"	7216	313914040	2.3
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2013"	"2013"	6955	316128839	2.2
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2014"	"2014"	6721	318857056	2.1
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2015"	"2015"	6465	321418820	2.0
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2016"	"2016"	6160	323127513	1.9
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2017"	"2017"	5698	325719178	1.7
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2018"	"2018"	5425	327167434	1.7
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2019"	"2019"	5044	328239523	1.5
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2020 "	"2020"	5115	329484123	1.6
	"#Malaria (B50-B54)"	"GR113-017"	"2002"	"2002"	12	287625193	Unreliable
	"#Malaria (B50-B54)"	"GR113-017"	"2010"	"2010"	10	308745538	Unreliable
	"#Malaria (B50-B54)"	"GR113-017"	"2013"	"2013"	10	316128839	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"1999"	"1999"	7279	279040168	2.6
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2000"	"2000"	5532	281421906	2.0
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2001"	"2001"	5715	284968955	2.0
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2002"	"2002"	6707	287625193	2.3
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2003"	"2003"	7427	290107933	2.6
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2004"	"2004"	7540	292805298	2.6
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2005"	"2005"	7727	295516599	2.6
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2006"	"2006"	5897	298379912	2.0
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2007"	"2007"	5825	301231207	1.9
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2008"	"2008"	5914	304093966	1.9
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2009"	"2009"	5849	306771529	1.9
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2010"	"2010"	5805	308745538	1.9
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2011"	"2011"	5753	311591917	1.8
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2012"	"2012"	5961	313914040	1.9
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2013"	"2013"	6007	316128839	1.9
